ORIGIN,ORIGIN_CITY_NAME_NEW,ORIGIN_STATE_ABR,ORIGIN_STATE_NM
ABE,Allentown/Bethlehem/Easton,PA,Pennsylvania
ABI,Abilene,TX,Texas
ABQ,Albuquerque,NM,New Mexico
ABR,Aberdeen,SD,South Dakota
ABY,Albany,GA,Georgia
ACT,Waco,TX,Texas
ACV,Arcata/Eureka,CA,California
ACY,Atlantic City,NJ,New Jersey
ADK,Adak Island,AK,Alaska
ADQ,Kodiak,AK,Alaska
AEX,Alexandria,LA,Louisiana
AGS,Augusta,GA,Georgia
ALB,Albany,NY,New York
ALO,Waterloo,IA,Iowa
AMA,Amarillo,TX,Texas
ANC,Anchorage,AK,Alaska
APN,Alpena,MI,Michigan
ART,Watertown,NY,New York
ASE,Aspen,CO,Colorado
ATL,Atlanta,GA,Georgia
ATW,Appleton,WI,Wisconsin
AUS,Austin,TX,Texas
AVL,Asheville,NC,North Carolina
AVP,Scranton/Wilkes-Barre,PA,Pennsylvania
AZA,Phoenix,AZ,Arizona
AZO,Kalamazoo,MI,Michigan
BDL,Hartford,CT,Connecticut
BET,Bethel,AK,Alaska
BFF,Scottsbluff,NE,Nebraska
BFL,Bakersfield,CA,California
BGM,Binghamton,NY,New York
BGR,Bangor,ME,Maine
BHM,Birmingham,AL,Alabama
BIL,Billings,MT,Montana
BIS,Bismarck/Mandan,ND,North Dakota
BJI,Bemidji,MN,Minnesota
BLI,Bellingham,WA,Washington
BLV,Belleville,IL,Illinois
BMI,Bloomington/Normal,IL,Illinois
BNA,Nashville,TN,Tennessee
BOI,Boise,ID,Idaho
BOS,Boston,MA,Massachusetts
BPT,Beaumont/Port Arthur,TX,Texas
BQK,Brunswick,GA,Georgia
BQN,Aguadilla,PR,Puerto Rico
BRD,Brainerd,MN,Minnesota
BRO,Brownsville,TX,Texas
BRW,Barrow,AK,Alaska
BTM,Butte,MT,Montana
BTR,Baton Rouge,LA,Louisiana
BTV,Burlington,VT,Vermont
BUF,Buffalo,NY,New York
BUR,Burbank,CA,California
BWI,Baltimore,MD,Maryland
BZN,Bozeman,MT,Montana
CAE,Columbia,SC,South Carolina
CAK,Akron,OH,Ohio
CDC,Cedar City,UT,Utah
CDV,Cordova,AK,Alaska
CGI,Cape Girardeau,MO,Missouri
CHA,Chattanooga,TN,Tennessee
CHO,Charlottesville,VA,Virginia
CHS,Charleston,SC,South Carolina
CID,Cedar Rapids/Iowa City,IA,Iowa
CIU,Sault Ste. Marie,MI,Michigan
CKB,Clarksburg/Fairmont,WV,West Virginia
CLE,Cleveland,OH,Ohio
CLL,College Station/Bryan,TX,Texas
CLT,Charlotte,NC,North Carolina
CMH,Columbus,OH,Ohio
CMI,Champaign/Urbana,IL,Illinois
CMX,Hancock/Houghton,MI,Michigan
CNY,Moab,UT,Utah
COD,Cody,WY,Wyoming
COS,Colorado Springs,CO,Colorado
COU,Columbia,MO,Missouri
CPR,Casper,WY,Wyoming
CRP,Corpus Christi,TX,Texas
CRW,Charleston/Dunbar,WV,West Virginia
CSG,Columbus,GA,Georgia
CVG,Cincinnati,KY,Kentucky
CWA,Mosinee,WI,Wisconsin
CYS,Cheyenne,WY,Wyoming
DAB,Daytona Beach,FL,Florida
DAL,Dallas,TX,Texas
DAY,Dayton,OH,Ohio
DBQ,Dubuque,IA,Iowa
DCA,Washington,VA,Virginia
DEN,Denver,CO,Colorado
DFW,Dallas/Fort Worth,TX,Texas
DHN,Dothan,AL,Alabama
DLH,Duluth,MN,Minnesota
DRO,Durango,CO,Colorado
DRT,Del Rio,TX,Texas
DSM,Des Moines,IA,Iowa
DTW,Detroit,MI,Michigan
DVL,Devils Lake,ND,North Dakota
EAR,Kearney,NE,Nebraska
EAU,Eau Claire,WI,Wisconsin
ECP,Panama City,FL,Florida
EGE,Eagle,CO,Colorado
EKO,Elko,NV,Nevada
ELM,Elmira/Corning,NY,New York
ELP,El Paso,TX,Texas
ERI,Erie,PA,Pennsylvania
ESC,Escanaba,MI,Michigan
EUG,Eugene,OR,Oregon
